nconst,primaryName,tconst
nm0000195,Bill Murray,tt0087332
nm0000244,Sigourney Weaver,tt0087332
nm0000601,Harold Ramis,tt0087332
nm0000101,Dan Aykroyd,tt0090056
nm0000331,Chevy Chase,tt0090056
nm0199733,Sean Daniel,tt0090056
nm0000101,Dan Aykroyd,tt0095253
nm0000906,Annette Bening,tt0095253
nm0001006,John Candy,tt0095253
nm0266995,Stephanie Faracy,tt0095253
nm0000101,Dan Aykroyd,tt0097239
nm0526985,Patti LuPone,tt0097239
nm0000101,Dan Aykroyd,tt0097428
nm0000195,Bill Murray,tt0097428
nm0000244,Sigourney Weaver,tt0097428
nm0000601,Harold Ramis,tt0097428
nm0000101,Dan Aykroyd,tt0102492
nm0000130,Jamie Lee Curtis,tt0102492
nm0000346,Macaulay Culkin,tt0102492
nm0001043,Anna Chlumsky,tt0102492
nm0000101,Dan Aykroyd,tt0102558
nm0000193,Demi Moore,tt0102558
nm0000331,Chevy Chase,tt0102558
nm0001006,John Candy,tt0102558
nm0000101,Dan Aykroyd,tt0105435
nm0000101,Dan Aykroyd,tt0118747
nm0000422,John Goodman,tt0118747
nm0205569,Tom Davis,tt0118747
nm0000101,Dan Aykroyd,tt0119229
nm0000131,John Cusack,tt0119229
nm0000349,Joan Cusack,tt0119229
nm0000378,Minnie Driver,tt0119229
nm0000101,Dan Aykroyd,tt0388419
nm0000130,Jamie Lee Curtis,tt0388419
nm0000741,Tim Allen,tt0388419
nm0000101,Dan Aykroyd,tt0762107
nm0001191,Adam Sandler,tt0762107
nm0004754,Jessica Biel,tt0762107
nm0416673,Kevin James,tt0762107
nm0000101,Dan Aykroyd,tt0884726
nm0000902,Jim Belushi,tt0884726
nm0001288,Kelsey Grammer,tt0884726
nm0584951,Lea Michele,tt0884726
nm0000101,Dan Aykroyd,tt1302067
nm0005493,Justin Timberlake,tt1302067
nm0146915,Tom Cavanagh,tt1302067
nm0267506,Anna Faris,tt1302067
nm0000101,Dan Aykroyd,tt2473602
nm0205626,Viola Davis,tt2473602
nm1569276,Chadwick Boseman,tt2473602
nm1734700,Nelsan Ellis,tt2473602
nm0000102,Kevin Bacon,tt0083833
nm0000430,Steve Guttenberg,tt0083833
nm0000620,Mickey Rourke,tt0083833
nm0827663,Daniel Stern,tt0083833
nm0000102,Kevin Bacon,tt0094318
nm0000276,Sean Astin,tt0094318
nm0551502,K.C. Martel,tt0094318
nm0911644,Jonathan Ward,tt0094318
nm0000102,Kevin Bacon,tt0096926
nm0000492,Jennifer Jason Leigh,tt0096926
nm0000687,J.T. Walsh,tt0096926
nm0519489,Emily Longstreth,tt0096926
nm0000102,Kevin Bacon,tt0099582
nm0000210,Julia Roberts,tt0099582
nm0000287,William Baldwin,tt0099582
nm0000662,Kiefer Sutherland,tt0099582
nm0000102,Kevin Bacon,tt0100814
nm0141617,Finn Carter,tt0100814
nm0343447,Michael Gross,tt0100814
nm0911542,Fred Ward,tt0100814
nm0000102,Kevin Bacon,tt0102011
nm0001439,Anthony LaPaglia,tt0102011
nm0001447,Nathan Lane,tt0102011
nm0001610,Elizabeth Perkins,tt0102011
nm0000102,Kevin Bacon,tt0104257
nm0000129,Tom Cruise,tt0104257
nm0000193,Demi Moore,tt0104257
nm0000102,Kevin Bacon,tt0110997
nm0000657,David Strathairn,tt0110997
nm0000658,Meryl Streep,tt0110997
nm0001515,Joseph Mazzello,tt0110997
nm0000102,Kevin Bacon,tt0112384
nm0000158,Tom Hanks,tt0112384
nm0000200,Bill Paxton,tt0112384
nm0000641,Gary Sinise,tt0112384
nm0000102,Kevin Bacon,tt0112453
nm0000403,Bridget Fonda,tt0112453
nm0001364,Bob Hoskins,tt0112453
nm0191906,Jim Cummings,tt0112453
nm0000102,Kevin Bacon,tt0113870
nm0000198,Gary Oldman,tt0113870
nm0000225,Christian Slater,tt0113870
nm0001110,Embeth Davidtz,tt0113870
nm0000102,Kevin Bacon,tt0118980
nm0000524,Mary Stuart Masterson,tt0118980
nm0939697,Evan Rachel Wood,tt0118980
nm0000102,Kevin Bacon,tt0120890
nm0000117,Neve Campbell,tt0120890
nm0000369,Matt Dillon,tt0120890
nm0000612,Denise Richards,tt0120890
nm0000102,Kevin Bacon,tt0156812
nm0000178,Diane Lane,tt0156812
nm0005260,Frankie Muniz,tt0156812
nm0005561,Luke Wilson,tt0156812
nm0000102,Kevin Bacon,tt0164052
nm0000223,Elisabeth Shue,tt0164052
nm0000982,Josh Brolin,tt0164052
nm0225332,Kim Dickens,tt0164052
nm0000102,Kevin Bacon,tt0164181
nm0001152,Illeana Douglas,tt0164181
nm0002062,Kathryn Erbe,tt0164181
nm0000102,Kevin Bacon,tt0327056
nm0000209,Tim Robbins,tt0327056
nm0000576,Sean Penn,tt0327056
nm0002536,Emmy Rossum,tt0327056
nm0000102,Kevin Bacon,tt0361127
nm0001718,Kyra Sedgwick,tt0361127
nm0004979,David Alan Grier,tt0361127
nm0080049,Yasiin Bey,tt0361127
nm0000102,Kevin Bacon,tt0373450
nm0000147,Colin Firth,tt0373450
nm0371342,David Hayman,tt0373450
nm0517844,Alison Lohman,tt0373450
nm0000102,Kevin Bacon,tt0485851
nm0000409,Brendan Fraser,tt0485851
nm0000412,Andy Garcia,tt0485851
nm0001264,Sarah Michelle Gellar,tt0485851
nm0000102,Kevin Bacon,tt0790736
nm0000313,Jeff Bridges,tt0790736
nm0000571,Mary-Louise Parker,tt0790736
nm0005351,Ryan Reynolds,tt0790736
nm0000102,Kevin Bacon,tt0804461
nm0000422,John Goodman,tt0804461
nm0000593,Kelly Preston,tt0804461
nm1330560,Garrett Hedlund,tt0804461
nm0000102,Kevin Bacon,tt0822849
nm0001315,Marcia Gay Harden,tt0822849
nm0385792,Marin Hinkle,tt0822849
nm1851028,Miles Heizer,tt0822849
nm0000102,Kevin Bacon,tt0870111
nm0005377,Sam Rockwell,tt0870111
nm0790688,Michael Sheen,tt0870111
nm0000102,Kevin Bacon,tt1185431
nm0000250,Renée Zellweger,tt1185431
nm0503567,Logan Lerman,tt1185431
nm0719321,Mark Rendall,tt1185431
nm0000102,Kevin Bacon,tt1270798
nm0564215,James McAvoy,tt1270798
nm1055413,Michael Fassbender,tt1270798
nm2225369,Jennifer Lawrence,tt1270798
nm0000102,Kevin Bacon,tt1512235
nm0000239,Liv Tyler,tt1512235
nm0680983,Elliot Page,tt1512235
nm0933988,Rainn Wilson,tt1512235
nm0000102,Kevin Bacon,tt1878841
nm0593664,Radha Mitchell,tt1878841
nm3458761,David Mazouz,tt1878841
nm4867258,Lucy Fry,tt1878841
nm0000102,Kevin Bacon,tt8201852
nm0089772,Colin Blumenau,tt8201852
nm1086543,Amanda Seyfried,tt8201852
nm0000103,Fairuza Balk,tt0089908
nm0000103,Fairuza Balk,tt0104321
nm0000724,Brooke Adams,tt0104321
nm0001746,Ione Skye,tt0104321
nm0000103,Fairuza Balk,tt0115963
nm0000117,Neve Campbell,tt0115963
nm0000677,Robin Tunney,tt0115963
nm0874086,Rachel True,tt0115963
nm0000103,Fairuza Balk,tt0120484
nm0000870,Kathy Bates,tt0120484
nm0001191,Adam Sandler,tt0120484
nm0001857,Henry Winkler,tt0120484
nm0000103,Fairuza Balk,tt0870122
nm0834989,Jeremy Strong,tt0870122
nm0000104,Antonio Banderas,tt0104802
nm0000800,Armand Assante,tt0104802
nm0169753,Scott Cohen,tt0104802
nm0000104,Antonio Banderas,tt0112401
nm0000194,Julianne Moore,tt0112401
nm0000230,Sylvester Stallone,tt0112401
nm0000104,Antonio Banderas,tt0112851
nm0000161,Salma Hayek,tt0112851
nm0001507,Cheech Marin,tt0112851
nm0021835,Joaquim de Almeida,tt0112851
nm0000104,Antonio Banderas,tt0113101
nm0000619,Tim Roth,tt0113101
nm0004866,Amanda De Cadenet,tt0113101
nm0205423,Sammi Davis,tt0113101
nm0000104,Antonio Banderas,tt0116250
nm0000596,Jonathan Pryce,tt0116250
nm0619700,Jimmy Nail,tt0116250
nm0000104,Antonio Banderas,tt0120657
nm0474520,Vladimir Kulich,tt0120657
nm0832509,Dennis Storhøi,tt0120657
nm0893204,Diane Venora,tt0120657
nm0000104,Antonio Banderas,tt0120746
nm0001876,Catherine Zeta-Jones,tt0120746
nm0851767,José María de Tavira,tt0120746
nm0000104,Antonio Banderas,tt0218922
nm0001401,Angelina Jolie,tt0218922
nm0005048,Thomas Jane,tt0218922
nm0000104,Antonio Banderas,tt0227538
nm0001303,Carla Gugino,tt0227538
nm0754512,Daryl Sabara,tt0227538
nm0891786,Alexa PenaVega,tt0227538
nm0000104,Antonio Banderas,tt0280665
nm0001075,Peter Coyote,tt0280665
nm0005381,Rebecca Romijn,tt0280665
nm0248254,Eriq Ebouaney,tt0280665
nm0000104,Antonio Banderas,tt0285823
nm0000136,Johnny Depp,tt0285823
nm0000161,Salma Hayek,tt0285823
nm0000353,Willem Dafoe,tt0285823
nm0000104,Antonio Banderas,tt0287717
nm0001303,Carla Gugino,tt0287717
nm0754512,Daryl Sabara,tt0287717
nm0891786,Alexa PenaVega,tt0287717
nm0000104,Antonio Banderas,tt0314197
nm0000668,Emma Thompson,tt0314197
nm0001952,Rubén Blades,tt0314197
nm1354955,Irene Escolar,tt0314197
nm0000104,Antonio Banderas,tt0386140
nm0001722,Rufus Sewell,tt0386140
nm0001876,Catherine Zeta-Jones,tt0386140
nm0000104,Antonio Banderas,tt0413267
nm0000139,Cameron Diaz,tt0413267
nm0000196,Mike Myers,tt0413267
nm0000552,Eddie Murphy,tt0413267
nm0000104,Antonio Banderas,tt0446046
nm0005569,Alfre Woodard,tt0446046
nm0114532,Rob Brown,tt0446046
nm1861624,Yaya DaCosta,tt0446046
nm0000104,Antonio Banderas,tt0448694
nm0000161,Salma Hayek,tt0448694
nm0000671,Billy Bob Thornton,tt0448694
nm0302108,Zach Galifianakis,tt0448694
nm0000104,Antonio Banderas,tt0892791
nm0000139,Cameron Diaz,tt0892791
nm0000196,Mike Myers,tt0892791
nm0000552,Eddie Murphy,tt0892791
nm0000104,Antonio Banderas,tt1189073
nm0004650,Marisa Paredes,tt1189073
nm0025745,Elena Anaya,tt1189073
nm1693432,Jan Cornet,tt1189073
nm0000104,Antonio Banderas,tt1307873
nm0001209,William Fichtner,tt1307873
nm0347149,Sienna Guillory,tt1307873
nm0470981,Thomas Kretschmann,tt1307873
nm0000104,Antonio Banderas,tt1701210
nm0835016,Mark Strong,tt1701210
nm2588665,Tahar Rahim,tt1701210
