nconst,primaryName,tconst
nm0171754,Christopher Collet,tt0102703
nm0000099,Patricia Arquette,tt0106833
nm0000553,Liam Neeson,tt0106833
nm0004883,Tate Donovan,tt0106833
nm0000099,Patricia Arquette,tt0108399
nm0000174,Val Kilmer,tt0108399
nm0000225,Christian Slater,tt0108399
nm0000099,Patricia Arquette,tt0109707
nm0000136,Johnny Depp,tt0109707
nm0000572,Sarah Jessica Parker,tt0109707
nm0000099,Patricia Arquette,tt0112495
nm0000531,Frances McDormand,tt0112495
nm0336960,Spalding Gray,tt0112495
nm0000099,Patricia Arquette,tt0116324
nm0000495,Téa Leoni,tt0116324
nm0001774,Ben Stiller,tt0116324
nm0000099,Patricia Arquette,tt0116922
nm0000597,Bill Pullman,tt0116922
nm0258388,Louis Eppolito,tt0116922
nm0741803,John Roselius,tt0116922
nm0000099,Patricia Arquette,tt0117582
nm0000367,Gérard Depardieu,tt0117582
nm0000980,Jim Broadbent,tt0117582
nm0001364,Bob Hoskins,tt0117582
nm0000099,Patricia Arquette,tt0119219
nm0000551,Dermot Mulroney,tt0119219
nm0000571,Mary-Louise Parker,tt0119219
nm0001122,Ellen DeGeneres,tt0119219
nm0000099,Patricia Arquette,tt0120699
nm0000437,Woody Harrelson,tt0120699
nm0001082,Billy Crudup,tt0120699
nm0369513,Cole Hauser,tt0120699
nm0000099,Patricia Arquette,tt0145531
nm0000321,Gabriel Byrne,tt0145531
nm0000505,Nia Long,tt0145531
nm0000596,Jonathan Pryce,tt0145531
nm0000099,Patricia Arquette,tt0163988
nm0000115,Nicolas Cage,tt0163988
nm0000422,John Goodman,tt0163988
nm0000609,Ving Rhames,tt0163988
nm0000099,Patricia Arquette,tt0185431
nm0001191,Adam Sandler,tt0185431
nm0406975,Rhys Ifans,tt0185431
nm0000099,Patricia Arquette,tt0219822
nm0000209,Tim Robbins,tt0219822
nm0406975,Rhys Ifans,tt0219822
nm0535850,Ken Magee,tt0219822
nm0000099,Patricia Arquette,tt0286493
